248,10,2
HTTP,SSL,
source_ip,source_port,dest_ip,dest_port,IP4_proto,f_dur,delta_bytes,avg_ia,min_ia,max_ia,avg_len,min_len,max_len,pkt_vel,byte_vel,application,app_num
65.55.17.37,80,192.168.3.131,55954,TCP,55451.000000,13686,5545.100000,1.000000,34193.000000,1368,60,1514,180.339399,246812.501127,HTTP,0
72.14.213.18,443,192.168.3.131,49673,TCP,35697557.000000,1118,3569755.700000,800.000000,17889617.000000,111,60,134,0.280131,31.318670,SSL,1
147.31.122.1,443,172.16.255.1,10622,TCP,2109914.000000,2218,210991.400000,1644.000000,804885.000000,221,60,1514,4.739530,1051.227680,SSL,1
172.16.255.1,10622,147.31.122.1,443,TCP,2107596.000000,979,210759.600000,225.000000,847745.000000,97,54,345,4.744742,464.510276,SSL,1
172.16.255.1,10636,212.8.166.36,443,TCP,1820709.000000,1655,182070.900000,117.000000,275685.000000,165,54,647,5.492366,908.986554,SSL,1
172.16.255.1,10637,204.9.163.184,443,TCP,60896453.000000,1149,6089645.300000,174.000000,59653507.000000,114,54,629,0.164213,18.868094,SSL,1
172.16.255.1,10638,130.117.72.100,443,TCP,1253681.000000,885,125368.100000,166.000000,182657.000000,88,54,377,7.976511,705.921203,SSL,1
172.16.255.1,10639,204.9.163.181,443,TCP,921683.000000,2986,92168.300000,613.000000,445773.000000,298,54,1083,10.849717,3239.725589,SSL,1
172.16.255.1,10640,204.9.163.181,443,TCP,500592.000000,2037,50059.200000,1094.000000,96892.000000,203,54,1083,19.976348,4069.182088,SSL,1
172.16.255.1,10641,204.9.163.181,443,TCP,3319530.000000,2037,331953.000000,393.000000,2929342.000000,203,54,1083,3.012475,613.641088,SSL,1
172.16.255.1,10642,204.9.163.181,443,TCP,3318024.000000,2037,331802.400000,295.000000,2923101.000000,203,54,1083,3.013842,613.919610,SSL,1
172.16.255.1,10646,184.85.226.161,443,TCP,220016.000000,4044,22001.600000,519.000000,51113.000000,404,54,1179,45.451240,18380.481420,SSL,1
172.16.255.1,10647,184.85.226.161,443,TCP,142504.000000,1783,14250.400000,305.000000,35303.000000,178,54,1067,70.173469,12511.929490,SSL,1
172.16.255.1,10648,66.235.143.184,443,TCP,1089032.000000,3547,108903.200000,469.000000,308201.000000,354,54,1428,9.182467,3257.020914,SSL,1
172.16.255.1,10649,184.85.226.161,443,TCP,243698.000000,4934,24369.800000,354.000000,40925.000000,493,54,1099,41.034395,20246.370508,SSL,1
172.16.255.1,10650,184.85.226.161,443,TCP,195019.000000,3921,19501.900000,369.000000,41512.000000,392,54,1115,51.277055,20105.733288,SSL,1
172.16.255.1,10651,184.85.226.161,443,TCP,218274.000000,3873,21827.400000,1731.000000,38335.000000,387,54,1099,45.813977,17743.753264,SSL,1
172.16.255.1,10652,184.85.226.161,443,TCP,159336.000000,3873,15933.600000,288.000000,39313.000000,387,54,1099,62.760456,24307.124567,SSL,1
172.16.255.1,10653,128.241.90.211,80,TCP,537261.000000,938,53726.100000,182.000000,107688.000000,93,54,440,18.612927,1745.892592,HTTP,0
172.16.255.1,10654,128.241.90.211,80,TCP,543028.000000,936,54302.800000,118.000000,109381.000000,93,54,438,18.415257,1723.668024,HTTP,0
172.16.255.1,10655,128.241.90.211,80,TCP,436994.000000,951,43699.400000,98.000000,110808.000000,95,54,441,22.883609,2176.231253,HTTP,0
172.16.255.1,10667,194.192.199.252,443,TCP,1971985.000000,1381,197198.500000,216.000000,586756.000000,138,54,455,5.071032,700.309587,SSL,1
172.16.255.1,10684,109.229.25.126,443,TCP,23210826.000000,699,2321082.600000,130.000000,20879894.000000,69,54,126,0.430833,30.115257,SSL,1
172.16.255.1,10687,109.90.123.126,443,TCP,16386168.000000,670,1638616.800000,224.000000,13876832.000000,67,54,126,0.610271,40.888144,SSL,1
172.16.255.1,10688,213.146.189.205,443,TCP,96703371.000000,1155,9670337.100000,227.000000,95684952.000000,115,54,458,0.103409,11.943741,SSL,1
172.16.255.1,10690,109.173.29.34,443,TCP,2558153.000000,698,255815.300000,189.000000,522208.000000,69,54,126,3.909070,272.853109,SSL,1
10.0.2.15,2526,65.54.186.19,443,TCP,375475.000000,5206,37547.500000,27.000000,130007.000000,520,54,1514,26.632932,13865.104201,SSL,1
10.0.2.15,2529,207.46.96.145,80,TCP,258349.000000,1451,25834.900000,21.000000,104220.000000,145,54,957,38.707330,5616.433584,HTTP,0
10.0.2.15,2536,65.55.15.244,80,TCP,511028.000000,4692,51102.800000,897.000000,116309.000000,469,54,883,19.568399,9181.492991,HTTP,0
10.0.2.15,2537,65.55.15.244,80,TCP,4634874.000000,5586,463487.400000,40030.000000,3805238.000000,558,54,947,2.157556,1205.210757,HTTP,0
10.0.2.15,2542,207.46.113.78,443,TCP,597204.000000,3153,59720.400000,47.000000,231476.000000,315,54,1514,16.744697,5279.602950,SSL,1
10.0.2.15,2544,207.46.113.78,443,TCP,456659.000000,3190,45665.900000,61.000000,122354.000000,319,54,1514,21.898178,6985.518735,SSL,1
10.0.2.15,2548,65.54.167.27,80,TCP,313120.000000,2449,31312.000000,130.000000,146704.000000,244,54,1385,31.936638,7821.282575,HTTP,0
10.0.2.15,2552,70.37.129.32,80,TCP,20359710.000000,1372,2035971.000000,343.000000,16193433.000000,137,54,878,0.491166,67.387993,HTTP,0
65.54.186.19,443,10.0.2.15,2526,TCP,320824.000000,4951,32082.400000,692.000000,72539.000000,495,60,1102,31.169738,15432.137247,SSL,1
